class,cap-shape,cap-surface,cap-color,bruises,odor,population,habitat
e,x,s,y,t,l,n,g
e,x,y,y,t,a,s,m
e,x,f,n,t,n,v,d
e,x,s,w,t,a,s,m
e,x,y,y,t,l,s,p
e,x,y,w,t,a,n,m
e,x,s,w,t,l,n,g
e,f,y,y,t,l,y,g
e,b,s,y,t,l,n,g
e,f,f,w,t,a,v,d
e,f,s,g,f,n,s,g
e,x,y,w,t,a,n,g
e,x,y,w,t,l,n,g
e,f,y,y,t,l,s,g
e,x,s,w,t,a,v,d
e,x,s,y,t,a,s,g
e,f,y,y,t,a,y,g
e,x,y,y,t,a,y,p
e,x,s,y,t,l,n,g
e,x,f,n,t,n,y,d
e,f,y,y,t,l,y,g
e,x,s,w,t,a,n,g
e,b,s,y,t,a,s,m
e,x,s,y,t,l,s,m
e,x,y,n,t,l,s,g
e,b,y,y,t,a,n,g
e,x,s,w,t,l,n,m
e,x,y,w,t,l,s,m
e,x,s,y,t,l,s,g
e,f,y,y,t,l,y,p
e,x,f,w,f,n,a,g
e,x,s,n,f,n,s,g
e,x,s,w,f,n,s,g
e,x,s,y,t,l,n,m
e,f,f,w,f,n,s,g
p,f,s,n,t,p,s,g
e,x,f,g,f,n,s,g
p,f,y,n,t,p,v,u
p,x,s,n,t,p,v,g
e,b,s,w,t,l,n,g
e,x,f,g,f,n,a,g
e,x,s,w,t,l,n,g
e,f,f,g,f,n,a,g
e,x,s,g,f,n,s,g
e,x,s,w,t,a,n,g
e,x,s,w,t,l,s,m
e,x,y,g,t,n,y,d
e,f,f,n,f,n,a,g
e,x,s,w,f,n,s,g
e,f,f,n,f,n,a,g
e,x,s,n,f,n,a,g
e,x,y,y,t,l,n,g
e,x,s,y,t,l,v,d
e,f,f,w,f,n,s,g
e,x,s,n,f,n,a,g
e,x,s,g,f,n,a,g
p,x,y,n,t,p,s,u
e,x,f,g,f,n,y,u
e,b,s,w,t,a,n,m
e,x,s,g,f,n,a,g
e,f,f,g,f,n,s,g
p,f,s,n,t,p,v,g
e,x,s,y,t,l,s,g
e,x,f,n,f,n,y,u
e,f,s,w,f,n,s,g
e,x,y,y,t,a,n,m
e,x,f,n,f,n,s,g
e,f,s,g,f,n,a,g
e,x,y,e,t,n,y,d
e,b,y,y,t,a,n,g
e,x,f,w,f,n,s,g
p,x,s,w,t,p,s,g
e,x,f,g,f,n,s,g
e,f,f,g,t,n,v,d
e,f,f,n,f,n,a,g
e,f,f,w,f,n,s,g
e,b,y,w,t,l,s,g
e,f,f,n,f,n,a,g
p,f,y,n,t,p,v,u
p,x,y,w,t,p,s,u
e,b,s,y,t,l,s,g
e,f,s,g,f,n,a,g
e,x,f,g,f,n,a,g
e,f,f,n,f,n,s,g
e,b,s,w,t,l,s,m
p,x,s,w,t,p,v,u
e,x,y,n,t,n,v,d
e,f,f,w,t,l,v,d
e,x,y,y,t,l,n,m
e,x,f,n,f,n,a,g
e,f,f,w,f,n,a,g
e,x,f,n,t,n,v,d
e,x,f,n,t,n,y,d
e,f,s,g,f,n,s,g
e,f,s,g,f,n,s,g
p,f,s,n,t,p,s,g
e,x,f,n,t,n,y,d
e,x,s,n,f,n,s,g
e,x,f,w,f,n,s,g
e,f,f,n,f,n,s,g
e,x,f,n,t,n,v,d
e,f,f,n,t,n,v,d
e,x,f,g,f,n,s,g
e,f,f,n,t,n,y,d
e,x,s,g,f,n,s,g
e,b,y,w,t,l,n,g
e,x,f,n,t,n,y,d
e,x,y,y,t,l,s,g
e,f,f,g,f,n,a,g
e,f,f,n,t,n,y,d
e,x,s,y,t,l,s,m
e,f,f,g,f,n,s,g
e,x,f,n,f,n,s,g
p,x,s,w,t,p,s,u
e,x,f,w,f,n,s,g
e,f,f,w,f,n,a,g
e,x,s,w,f,n,a,g
e,x,s,g,f,n,a,g
e,x,y,y,t,l,n,g
e,x,s,y,t,l,n,m
e,x,s,g,f,n,a,g
e,x,s,n,f,n,s,g
e,f,f,n,f,n,v,u
e,f,s,w,f,n,s,g
e,f,s,w,f,n,a,g
e,x,y,y,t,l,s,m
e,f,s,w,t,a,v,d
e,b,s,w,t,l,n,m
p,f,y,w,t,p,v,u
e,x,f,g,t,n,y,d
e,f,y,n,t,l,y,g
e,f,s,n,f,n,s,g
p,x,s,w,t,p,v,g
e,x,y,n,t,l,y,g
e,x,s,g,f,n,a,g
e,x,s,w,f,n,a,g
e,f,f,w,f,n,s,g
e,x,f,n,f,n,a,g
e,x,s,w,t,l,s,g
e,x,y,w,t,a,s,m
e,x,s,w,f,n,s,g
e,f,y,y,t,a,s,p
e,f,s,n,f,n,s,g
e,f,f,g,f,n,s,g
e,f,f,y,t,a,v,d
e,f,y,n,t,l,s,g
e,x,f,n,t,n,y,d
p,f,s,n,t,p,s,g
e,x,f,n,t,n,v,d
e,f,f,n,f,n,a,g
e,b,s,y,t,a,n,m
e,b,y,w,t,a,n,g
e,x,y,w,t,a,s,m
p,f,y,w,t,p,v,u
p,f,y,w,t,p,s,g
e,x,f,n,f,n,v,u
e,f,s,y,t,l,v,d
e,x,y,y,t,l,n,m
e,x,s,w,f,n,a,g
e,x,f,g,t,n,y,d
p,x,y,n,t,p,v,g
e,x,f,g,f,n,s,g
e,f,f,n,f,n,s,g
e,x,s,w,f,n,s,g
e,f,f,w,f,n,a,g
e,x,y,y,t,a,s,m
e,f,f,y,t,a,v,d
e,x,f,g,f,n,y,u
p,x,s,n,t,p,s,u
e,x,y,y,t,a,y,p
e,f,y,n,t,a,s,p
e,x,f,w,f,n,a,g
e,x,y,n,t,n,v,d
e,x,s,g,f,n,a,g
e,x,s,w,t,a,s,g
e,x,f,g,f,n,s,g
p,f,y,n,t,p,s,u
e,x,f,n,t,n,v,d
e,x,f,g,f,n,a,g
e,x,f,e,t,n,v,d
e,x,f,n,t,n,y,d
e,x,f,g,f,n,a,g
e,x,y,y,t,l,s,p
e,x,f,n,f,n,s,g
e,b,s,y,t,l,s,g
e,x,f,w,t,l,v,d
e,f,s,g,f,n,s,g
e,x,y,y,t,l,n,g
e,x,f,n,f,n,s,g
e,f,s,w,f,n,a,g
e,x,s,y,t,l,v,d
e,x,s,g,f,n,s,g
e,x,f,g,f,n,s,g
p,f,y,w,t,p,s,u
e,f,f,y,t,l,v,d
e,x,y,w,t,a,s,g
e,f,f,w,f,n,a,g
e,x,f,n,t,n,v,d
e,x,y,n,t,l,s,g
e,x,s,w,f,n,a,g
p,f,y,w,t,p,v,g
e,x,s,y,t,a,s,g
e,x,f,g,t,n,y,d
e,f,y,y,t,l,s,p
e,f,s,g,f,n,a,g
e,f,f,n,f,n,y,u
p,f,y,w,t,p,v,g
e,f,f,g,f,n,s,g
e,x,y,n,t,l,s,p
e,f,f,w,f,n,a,g
p,f,y,n,t,p,v,u
e,b,s,y,t,l,n,m
e,f,f,g,f,n,s,g
e,b,s,w,t,l,n,g
e,f,f,g,f,n,s,g
e,b,y,w,t,l,n,m
e,x,y,w,t,l,n,m
p,f,y,n,t,p,v,g
e,x,y,y,t,l,s,g
e,s,f,n,f,n,y,u
e,x,y,n,t,a,y,g
e,f,f,g,f,n,a,g
e,f,f,y,t,l,v,d
e,x,s,g,f,n,a,g
p,f,y,n,t,p,v,u
e,x,f,g,f,n,a,g
e,x,s,g,f,n,a,g
e,x,f,g,f,n,s,g
p,x,y,n,t,p,s,g
e,x,f,n,f,n,a,g
e,f,s,w,f,n,s,g
e,x,f,g,f,n,s,g
p,x,y,n,t,p,s,g
e,f,f,n,f,n,a,g
e,f,s,w,f,n,a,g
p,x,y,w,t,p,v,u
e,f,f,g,f,n,a,g
e,b,y,y,t,l,n,g
e,x,s,n,f,n,a,g
e,f,f,n,f,n,a,g
p,f,s,w,t,p,s,g
e,x,y,n,t,a,s,g
e,f,f,w,f,n,a,g
e,f,y,n,t,l,s,g
e,f,f,g,f,n,s,g
e,f,f,g,f,n,s,g
e,f,s,g,f,n,s,g
e,f,f,n,f,n,s,g
e,x,s,g,f,n,s,g
e,x,f,w,f,n,s,g
e,f,f,w,f,n,a,g
e,x,s,n,f,n,s,g
e,x,f,n,t,n,v,d
e,f,s,y,t,a,v,d
e,x,f,w,f,n,s,g
e,f,s,w,f,n,a,g
e,b,s,y,t,a,n,g
e,x,f,w,f,n,a,g
e,x,f,g,f,n,a,g
p,f,s,n,t,p,v,u
e,x,f,g,f,n,a,g
p,x,s,n,t,p,s,g
e,f,s,w,f,n,s,g
e,x,y,w,t,a,n,g
e,x,f,n,f,n,s,g
e,x,f,n,t,n,y,d
e,b,y,y,t,l,s,g
e,f,f,w,f,n,a,g
e,x,s,n,f,n,a,g
e,f,f,w,f,n,a,g
e,x,f,n,t,n,v,d
e,f,f,w,f,n,s,g
e,x,s,w,f,n,a,g
e,x,s,n,f,n,a,g
e,x,f,w,f,n,s,g
e,f,s,g,f,n,s,g
e,x,f,g,f,n,a,g
e,x,f,g,f,n,a,g
e,f,s,n,f,n,a,g
e,f,s,w,f,n,a,g
e,f,y,n,t,a,y,p
p,x,y,w,t,p,v,g
e,f,s,g,f,n,a,g
p,x,y,w,t,p,v,g
e,b,y,w,t,a,s,m
e,x,s,g,f,n,s,g
e,f,f,g,f,n,a,g
e,f,f,w,f,n,s,g
e,f,s,g,f,n,s,g
e,b,y,w,t,a,n,g
e,x,f,g,f,n,s,g
e,x,f,e,t,n,v,d
e,x,y,y,t,a,s,p
e,x,s,w,f,n,s,g
e,b,s,w,t,a,n,m
p,x,s,n,t,p,v,g
e,x,f,n,t,n,y,d
e,f,s,n,f,n,s,g
e,b,s,w,t,a,n,m
e,x,s,g,f,n,s,g
e,x,f,n,t,n,v,d
e,f,f,w,f,n,a,g
e,x,f,n,f,n,v,u
e,x,f,g,f,n,v,u
e,x,f,g,f,n,y,u
e,b,y,y,t,l,s,m
e,f,f,n,f,n,v,u
e,x,f,w,f,n,a,g
e,f,y,n,t,a,s,p
e,x,y,n,t,l,y,p
e,x,y,y,t,l,y,g
e,f,f,g,f,n,a,g
e,x,y,w,t,a,n,g
e,x,y,w,t,a,s,g
e,f,s,w,f,n,a,g
e,f,s,g,f,n,a,g
p,f,s,n,t,p,v,u
e,x,y,y,t,l,s,g
e,x,f,n,f,n,s,g
e,x,f,w,f,n,s,g
e,x,s,y,t,l,s,m
e,x,f,e,t,n,v,d
e,f,y,n,t,l,s,p
e,b,s,w,t,a,n,g
p,x,s,n,t,p,s,g
e,x,f,g,f,n,s,g
e,b,y,w,t,a,n,m
e,x,s,w,t,l,n,g
e,b,y,y,t,l,s,m
e,x,y,w,t,l,n,g
e,x,s,y,t,a,n,g
e,b,s,w,t,a,n,g
e,f,s,n,f,n,s,g
p,f,s,w,t,p,s,g
e,f,s,n,f,n,a,g
e,f,f,n,f,n,a,g
p,f,y,w,t,p,s,u
e,f,s,w,f,n,a,g
e,x,f,w,f,n,s,g
e,x,s,n,f,n,a,g
e,f,s,n,f,n,a,g
e,f,y,y,t,a,y,g
e,x,f,g,f,n,a,g
e,x,f,n,f,n,a,g
p,f,s,n,t,p,v,g
e,x,s,w,f,n,a,g
e,f,f,n,f,n,s,g
e,f,f,w,f,n,a,g
e,f,f,w,f,n,s,g
e,x,y,y,t,a,s,g
e,x,s,g,f,n,s,g
e,x,f,g,f,n,a,g
e,f,f,n,f,n,s,g
e,f,s,n,f,n,a,g
e,x,f,w,f,n,s,g
e,x,y,e,t,n,v,d
e,x,f,n,f,n,a,g
p,x,s,w,t,p,v,g
e,x,y,n,t,n,y,d
e,x,f,n,f,n,s,g
p,f,y,w,t,p,s,g
e,f,f,g,f,n,a,g
e,x,f,w,f,n,a,g
e,f,s,n,f,n,a,g
e,f,f,g,f,n,a,g
e,f,s,g,f,n,a,g
e,f,f,g,f,n,s,g
e,x,s,g,f,n,s,g
e,x,s,n,f,n,s,g
p,f,s,w,t,p,v,u
e,x,s,g,f,n,a,g
p,x,s,w,t,p,s,g
p,f,s,w,t,p,s,u
e,f,s,n,f,n,s,g
e,x,f,g,f,n,a,g
e,f,s,g,f,n,a,g
e,x,s,g,f,n,a,g
e,f,f,g,f,n,a,g
e,f,f,g,f,n,a,g
e,x,y,g,t,n,y,d
e,x,f,n,t,n,v,d
e,f,s,w,f,n,a,g
p,f,y,w,t,p,v,g
p,f,y,n,t,p,s,g
e,x,s,w,f,n,a,g
p,f,s,n,t,p,s,g
e,f,f,n,f,n,s,g
e,f,s,w,f,n,a,g
p,f,s,n,t,p,v,g
p,f,y,w,t,p,v,g
p,f,y,n,t,p,v,g
p,f,s,w,t,p,s,g
e,x,s,w,f,n,a,g
e,x,f,n,t,n,v,d
e,f,s,w,f,n,a,g
e,f,f,g,f,n,a,g
p,f,y,n,t,p,v,u
e,x,s,w,f,n,s,g
e,x,y,e,t,n,y,d
e,f,s,g,f,n,s,g
e,x,s,w,f,n,s,g
p,f,s,w,t,p,s,g
e,f,f,n,f,n,a,g
e,x,f,w,f,n,s,g
p,f,s,w,t,p,s,u
e,x,f,n,f,n,a,g
e,f,f,w,f,n,s,g
e,x,s,w,f,n,s,g
e,f,s,w,f,n,s,g
e,b,y,y,t,a,n,m
e,x,s,g,f,n,a,g
e,x,f,w,f,n,s,g
e,x,s,n,f,n,s,g
e,x,f,n,f,n,a,g
e,f,f,g,f,n,a,g
p,x,y,n,t,p,s,u
e,f,s,g,f,n,s,g
e,x,f,n,t,n,y,d
e,f,s,w,f,n,a,g
e,x,f,n,t,n,v,d
e,x,f,g,f,n,a,g
e,x,f,w,f,n,a,g
p,f,s,w,t,p,v,g
p,f,s,w,t,p,v,g
e,x,s,g,f,n,a,g
e,x,f,n,t,n,v,d
e,x,s,g,f,n,s,g
e,x,y,y,t,a,s,p
e,f,s,w,f,n,a,g
e,x,s,w,f,n,a,g
e,x,f,g,f,n,a,g
e,f,s,w,f,n,s,g
e,x,f,n,t,n,y,d
e,f,s,g,f,n,a,g
e,f,s,g,f,n,s,g
e,f,f,n,f,n,s,g
e,f,s,w,f,n,s,g
e,f,s,w,f,n,a,g
e,f,s,g,f,n,s,g
e,f,f,w,f,n,s,g
e,f,s,n,f,n,a,g
p,f,s,w,t,p,s,g
e,x,f,g,f,n,a,g
e,b,y,y,t,l,n,g
e,f,f,n,f,n,s,g
e,f,s,g,f,n,s,g
e,x,f,n,t,n,y,d
e,b,s,y,t,l,s,m
e,x,s,w,f,n,s,g
e,f,f,n,t,n,y,d
p,x,s,w,t,p,s,g
e,f,f,w,f,n,s,g
p,f,y,w,t,p,s,u
e,x,s,n,f,n,a,g
e,f,s,n,f,n,a,g
e,b,s,y,t,l,n,g
e,f,s,g,f,n,a,g
e,x,s,g,f,n,a,g
e,f,f,g,f,n,s,g
e,x,f,g,f,n,s,g
e,f,s,w,f,n,a,g
p,f,s,n,t,p,v,g
e,f,f,g,f,n,a,g
e,f,s,w,f,n,a,g
e,x,f,n,t,n,y,d
e,x,s,n,f,n,a,g
e,x,f,e,t,n,y,d
e,x,y,y,t,a,n,g
e,f,f,w,f,n,s,g
e,x,s,w,f,n,a,g
e,f,f,n,f,n,a,g
p,f,s,w,t,p,s,u
e,f,f,g,t,n,y,d
e,f,s,w,f,n,s,g
e,f,f,w,f,n,a,g
p,f,y,n,t,p,v,g
e,x,s,w,f,n,s,g
e,x,f,n,t,n,y,d
e,x,y,g,t,n,v,d
e,x,y,g,t,n,v,d
e,f,s,n,f,n,s,g
e,f,s,w,f,n,s,g
e,f,s,n,f,n,a,g
e,x,s,n,f,n,a,g
e,f,f,w,f,n,a,g
e,x,f,n,f,n,s,g
e,f,f,w,f,n,a,g
e,f,f,n,f,n,a,g
e,f,s,w,f,n,s,g
e,f,f,n,f,n,a,g
p,f,y,n,t,p,v,u
e,f,f,w,f,n,a,g
e,f,s,w,f,n,s,g
e,x,f,n,f,n,a,g
e,f,f,w,f,n,s,g
e,x,f,g,f,n,a,g
e,f,s,n,f,n,a,g
e,x,f,g,t,n,v,d
e,f,f,w,f,n,a,g
e,f,f,n,f,n,s,g
e,x,s,n,f,n,s,g
e,x,f,w,f,n,s,g
e,b,s,y,t,l,s,g
p,x,y,n,t,p,s,g
p,f,s,n,t,p,v,g
e,f,f,w,f,n,s,g
e,f,f,n,f,n,s,g
p,f,y,n,t,p,s,g
e,f,f,n,f,n,s,g
p,x,s,w,t,p,v,u
e,f,s,n,f,n,a,g
p,f,y,w,t,p,v,u
e,f,s,n,f,n,a,g
e,f,s,g,f,n,a,g
e,x,f,g,f,n,a,g
e,f,f,n,f,n,s,g
e,x,f,g,t,n,v,d
e,x,f,n,t,n,v,d
e,x,f,n,f,n,s,g
e,x,f,g,t,n,y,d
e,x,s,w,f,n,s,g
e,f,s,w,f,n,a,g
e,x,s,w,f,n,s,g
e,f,f,g,f,n,s,g
e,x,f,n,t,n,y,d
e,x,s,w,f,n,s,g
e,x,s,n,f,n,s,g
e,f,s,g,f,n,s,g
p,f,y,w,t,p,s,g
e,f,s,n,f,n,s,g
e,f,y,y,t,a,y,g
e,x,f,g,t,n,y,d
e,f,s,g,f,n,a,g
e,x,s,g,f,n,a,g
p,f,y,w,t,p,s,u
e,x,s,w,f,n,a,g
e,x,s,w,f,n,a,g
e,f,s,g,f,n,a,g
e,f,s,n,f,n,s,g
e,x,f,n,f,n,s,g
e,f,s,n,f,n,s,g
e,f,s,n,f,n,a,g
e,x,f,w,f,n,a,g
e,f,f,w,f,n,a,g
e,f,f,n,f,n,a,g
e,x,y,w,t,l,s,m
e,x,s,n,f,n,a,g
e,x,s,g,f,n,s,g
e,f,s,w,f,n,a,g
p,x,s,w,t,p,s,u
e,x,s,w,f,n,s,g
e,x,f,n,t,n,v,d
e,f,f,g,f,n,s,g
e,x,s,g,f,n,a,g
e,f,f,n,f,n,a,g
e,f,s,n,f,n,s,g
e,x,s,g,f,n,s,g
e,f,y,n,t,l,s,p
p,f,y,n,t,p,v,u
e,x,s,n,f,n,s,g
e,x,f,n,t,n,v,d
p,f,y,w,t,p,s,g
p,x,s,w,t,p,s,u
p,f,s,n,t,p,s,u
e,x,f,n,t,n,y,d
e,b,y,w,t,l,n,m
p,f,y,w,t,p,s,g
e,f,f,w,f,n,a,g
e,x,s,w,f,n,s,g
e,x,f,n,t,n,y,d
e,x,s,n,f,n,a,g
e,f,f,n,f,n,s,g
e,f,f,n,f,n,s,g
p,f,y,n,t,p,s,u
p,f,y,w,t,p,v,g
e,x,s,n,f,n,s,g
e,f,f,g,f,n,s,g
e,x,f,n,t,n,v,d
e,f,s,g,f,n,s,g
e,f,f,n,f,n,a,g
p,f,s,n,t,p,v,u
e,x,f,n,f,n,a,g
p,f,y,n,t,p,v,g
e,x,s,g,f,n,a,g
e,f,f,w,f,n,s,g
e,x,s,w,f,n,a,g
e,x,f,n,t,n,y,d
e,x,s,n,f,n,s,g
p,f,s,w,t,p,s,u
e,x,f,n,t,n,v,d
e,x,s,w,f,n,s,g
e,f,s,w,f,n,s,g
e,x,s,w,t,a,v,d
e,x,f,n,f,n,s,g
e,x,y,g,t,n,v,d
e,x,f,n,t,n,y,d
e,x,s,y,t,a,v,d
e,f,f,g,f,n,a,g
e,x,s,n,f,n,s,g
e,x,y,e,t,n,y,d
e,f,s,g,f,n,a,g
p,f,s,w,t,p,v,u
e,f,f,w,f,n,s,g
e,x,f,g,f,n,a,g
e,f,f,n,f,n,s,g
e,f,s,n,f,n,a,g
e,x,f,w,f,n,a,g
p,f,y,w,t,p,s,g
e,x,f,w,f,n,s,g
e,f,s,n,f,n,a,g
e,x,s,n,f,n,s,g
e,x,f,g,f,n,s,g
e,x,s,n,f,n,a,g
e,f,y,y,t,l,y,g
p,x,y,n,t,p,v,u
e,x,f,w,f,n,a,g
e,f,s,w,f,n,s,g
e,x,s,n,f,n,s,g
p,f,y,n,t,p,s,g
e,f,f,g,f,n,s,g
p,f,s,w,t,p,s,u
e,f,s,n,f,n,s,g
e,x,s,g,f,n,s,g
e,x,f,g,f,n,a,g
e,f,f,n,f,n,s,g
e,f,s,g,f,n,s,g
e,x,s,w,f,n,s,g
e,x,f,n,f,n,a,g
e,x,f,g,f,n,s,g
e,f,f,n,f,n,a,g
e,b,y,y,t,a,n,m
e,f,f,g,f,n,s,g
e,x,f,g,f,n,a,g
e,f,f,w,f,n,a,g
e,x,f,n,t,n,y,d
p,f,s,n,t,p,s,u
e,x,f,n,t,n,y,d
e,x,f,n,f,n,a,g
e,x,f,n,t,n,y,d
e,x,f,w,f,n,a,g
e,f,s,g,f,n,s,g
e,f,s,n,f,n,a,g
e,x,y,y,t,a,s,m
e,x,f,w,t,a,v,d
e,f,f,g,f,n,a,g
e,f,f,n,f,n,a,g
e,f,f,n,f,n,s,g
e,b,y,y,t,a,s,g
e,x,f,n,f,n,s,g
e,x,y,w,t,l,s,g
e,f,s,w,f,n,s,g
e,x,s,w,f,n,a,g
e,x,f,n,f,n,s,g
e,x,s,n,f,n,a,g
e,x,s,n,f,n,s,g
e,x,y,n,t,n,y,d
e,f,s,g,f,n,s,g
e,x,y,y,t,a,n,m
e,x,s,w,f,n,a,g
p,f,y,w,t,p,s,u
e,f,s,w,f,n,s,g
p,f,s,w,t,p,s,u
e,f,s,g,f,n,s,g
e,f,f,g,f,n,s,g
p,x,s,w,t,p,s,g
e,x,s,g,f,n,a,g
p,x,s,w,t,p,s,u
e,x,s,g,f,n,s,g
e,f,s,w,f,n,s,g
p,f,y,w,t,p,v,g
e,x,f,w,f,n,a,g
e,x,s,n,f,n,a,g
e,x,f,w,f,n,s,g
e,x,f,w,f,n,a,g
e,x,y,e,t,n,y,d
p,f,s,n,t,p,s,u
e,f,f,g,f,n,s,g
e,x,y,y,t,a,y,g
e,x,f,n,f,n,a,g
e,f,f,n,f,n,a,g
e,b,s,w,t,l,n,m
e,f,s,g,f,n,a,g
e,f,f,w,f,n,a,g
e,f,f,n,f,n,a,g
p,f,s,n,t,p,s,u
e,x,s,n,f,n,a,g
e,b,y,y,t,a,n,g
e,f,s,g,f,n,a,g
e,f,s,n,f,n,s,g
e,x,f,g,f,n,a,g
e,f,s,g,f,n,s,g
e,x,f,n,f,n,a,g
e,x,f,n,t,n,v,d
e,b,y,w,t,l,n,m
e,x,f,g,t,n,v,d
p,f,y,n,t,p,s,g
e,x,s,w,f,n,a,g
p,f,s,n,t,p,v,u
e,f,s,n,f,n,a,g
e,f,f,n,f,n,a,g
e,x,f,w,f,n,a,g
e,x,f,n,f,n,a,g
e,f,s,n,f,n,s,g
e,x,s,y,t,l,s,g
e,f,s,w,f,n,a,g
e,x,s,w,f,n,s,g
p,x,y,n,t,p,v,g
e,f,f,g,f,n,a,g
p,f,y,n,t,p,s,g
e,f,f,w,f,n,a,g
e,x,f,n,t,n,v,d
e,x,f,g,f,n,s,g
p,f,s,n,t,p,v,u
e,f,s,g,f,n,s,g
p,x,s,w,t,p,v,u
e,x,f,n,t,n,v,d
e,x,f,n,f,n,s,g
e,x,y,y,t,a,s,p
e,f,f,w,f,n,s,g
e,f,s,w,f,n,a,g
e,x,f,g,f,n,s,g
e,f,f,g,f,n,s,g
e,f,f,w,f,n,a,g
e,x,f,g,f,n,s,g
e,f,f,g,f,n,a,g
e,x,f,g,t,n,v,d
e,x,s,g,f,n,a,g
e,f,s,g,f,n,s,g
e,x,y,n,t,l,s,g
e,x,y,g,t,n,y,d
e,f,s,g,f,n,a,g
e,f,f,w,f,n,s,g
e,f,s,n,f,n,a,g
e,f,f,w,f,n,s,g
e,f,f,n,f,n,a,g
e,f,s,g,f,n,a,g
e,x,s,n,f,n,s,g
e,x,f,n,t,n,y,d
e,x,s,n,f,n,s,g
e,x,f,n,f,n,a,g
e,f,s,w,f,n,a,g
e,x,f,n,f,n,y,u
p,f,s,w,t,p,s,u
p,f,s,n,t,p,v,g
e,x,f,n,t,n,v,d
e,x,s,w,f,n,a,g
e,f,f,g,f,n,a,g
e,x,s,n,f,n,s,g
e,x,f,n,f,n,s,g
e,x,s,g,f,n,s,g
e,f,f,g,f,n,a,g
e,f,s,n,f,n,s,g
e,f,s,g,f,n,a,g
e,x,f,e,t,n,v,d
p,f,y,w,t,p,v,u
e,x,f,n,f,n,s,g
e,x,f,n,t,n,v,d
p,f,s,n,t,p,s,u
p,f,s,w,t,p,v,g
p,f,s,w,t,p,s,u
e,f,f,w,f,n,a,g
e,f,s,n,f,n,s,g
e,f,f,n,f,n,a,g
e,x,s,n,f,n,a,g
e,f,s,n,f,n,a,g
p,f,s,w,t,p,v,g
p,f,s,w,t,p,v,g
e,f,s,g,f,n,a,g
e,x,s,n,f,n,a,g
e,x,s,n,f,n,s,g
e,x,f,n,t,n,v,d
e,x,f,n,t,n,v,d
e,f,f,w,f,n,a,g
e,f,f,w,f,n,s,g
e,x,f,w,f,n,a,g
e,x,s,y,t,l,n,m
e,f,s,g,f,n,a,g
e,x,s,w,f,n,s,g
e,x,f,n,f,n,s,g
e,x,f,n,f,n,a,g
e,x,s,w,f,n,s,g
e,x,s,n,f,n,s,g
e,x,s,g,f,n,s,g
e,x,s,g,f,n,s,g
e,f,s,w,f,n,s,g
e,x,s,n,f,n,a,g
e,f,f,g,f,n,s,g
e,f,f,w,f,n,s,g
e,x,f,w,f,n,a,g
e,f,f,g,f,n,s,g
e,x,f,g,f,n,a,g
e,x,y,y,t,a,n,g
e,x,s,y,t,l,n,g
e,x,s,w,f,n,a,g
p,x,y,n,t,p,s,g
e,x,f,w,f,n,s,g
p,x,s,w,t,p,s,u
e,x,y,g,t,n,v,d
p,f,s,w,t,p,v,u
e,x,y,y,t,l,s,g
e,x,y,w,t,l,n,m
e,f,y,n,t,l,y,p
e,x,s,w,f,n,s,g
e,f,s,n,f,n,s,g
e,x,s,g,f,n,a,g
e,x,s,w,f,n,a,g
e,f,s,n,f,n,s,g
e,f,s,n,f,n,a,g
e,x,s,g,f,n,s,g
e,b,s,w,t,l,n,g
e,x,s,g,f,n,s,g
e,x,s,y,t,l,s,m
p,f,y,w,t,p,v,g
e,f,s,w,f,n,s,g
e,f,s,n,f,n,s,g
e,f,s,g,f,n,s,g
e,f,f,g,f,n,s,g
e,x,y,n,t,n,y,d
e,x,f,n,t,n,y,d
e,x,y,y,t,a,y,p
e,x,f,g,t,n,y,d
e,f,f,g,f,n,a,g
e,f,s,n,f,n,s,g
e,f,s,w,f,n,a,g
e,x,f,g,f,n,a,g
e,f,s,w,f,n,s,g
e,f,f,g,f,n,a,g
e,x,f,g,f,n,a,g
e,x,s,n,f,n,a,g
e,x,f,n,t,n,y,d
e,f,s,w,f,n,s,g
e,f,f,n,f,n,s,g
p,f,y,n,t,p,s,g
e,x,f,n,t,n,y,d
e,x,f,n,f,n,s,g
e,f,f,w,f,n,s,g
p,f,y,n,t,p,v,u
e,f,f,g,f,n,s,g
e,x,f,g,t,n,v,d
e,x,f,w,f,n,a,g
e,x,f,g,f,n,s,g
e,x,f,n,t,n,v,d
e,x,s,g,f,n,a,g
e,f,f,w,f,n,a,g
e,x,f,g,t,n,y,d
e,x,y,w,t,l,n,g
e,x,y,w,t,l,n,m
e,f,s,g,f,n,s,g
e,f,s,w,f,n,a,g
e,f,s,n,f,n,s,g
e,f,s,w,f,n,a,g
e,x,f,n,f,n,a,g
e,x,s,n,f,n,s,g
e,b,y,y,t,a,n,m
p,f,y,w,t,p,v,g
e,x,s,n,f,n,a,g
e,f,s,n,f,n,s,g
e,x,y,n,t,a,s,g
e,x,s,g,f,n,a,g
e,f,s,w,f,n,a,g
p,x,s,n,t,p,v,u
e,f,s,g,f,n,a,g
e,x,f,w,f,n,s,g
p,f,s,n,t,p,v,g
e,x,f,n,f,n,a,g
e,x,s,n,f,n,a,g
e,x,f,n,t,n,v,d
e,f,s,w,f,n,s,g
p,f,s,w,t,p,v,u
e,x,f,w,f,n,a,g
e,f,f,n,f,n,s,g
e,f,s,g,f,n,s,g
e,x,f,w,f,n,a,g
